#"chrom","chromStart","chromEnd","name","score","strand","thickStart","thickEnd","reserved","cCRE_class","DNase_maxZ","H3K4me3_maxZ","H3K27ac_maxZ","CTCF_maxZ"
"chr1","156114484","156114807","EH38E2840471","0",".","156114484","156114807","255,0,0","Promoter","6.34","6.01","5.41","2.50"
"chr1","156114813","156115126","EH38E1387641","0",".","156114813","156115126","255,167,0","Proximal enhancer","4.42","6.59","5.72","2.11"
"chr1","156115154","156115391","EH38E2840472","0",".","156115154","156115391","255,167,0","Proximal enhancer","4.34","7.00","5.77","2.50"
"chr1","156115517","156115865","EH38E2840473","0",".","156115517","156115865","255,167,0","Proximal enhancer","5.80","6.76","5.44","1.90"
"chr1","156115922","156116257","EH38E2840474","0",".","156115922","156116257","255,167,0","Proximal enhancer","5.04","6.33","4.99","1.95"
"chr1","156116388","156116571","EH38E3980414","0",".","156116388","156116571","255,167,0","Proximal enhancer","3.50","5.79","4.45","1.72"
"chr1","156116664","156117005","EH38E3980415","0",".","156116664","156117005","255,205,0","Distal enhancer","2.71","5.24","3.92","1.36"
"chr1","156117318","156117667","EH38E3980416","0",".","156117318","156117667","255,205,0","Distal enhancer","2.72","4.65","4.15","1.50"
"chr1","156117900","156118214","EH38E2840479","0",".","156117900","156118214","255,205,0","Distal enhancer","3.80","4.89","4.52","1.64"
"chr1","156118256","156118596","EH38E2840480","0",".","156118256","156118596","255,205,0","Distal enhancer","4.03","4.83","4.37","2.08"
"chr1","156118643","156118804","EH38E1387649","0",".","156118643","156118804","255,205,0","Distal enhancer","3.79","4.66","4.07","1.58"
"chr1","156118881","156119087","EH38E3980417","0",".","156118881","156119087","255,205,0","Distal enhancer","2.59","4.31","4.04","1.46"
"chr1","156119565","156119856","EH38E1387651","0",".","156119565","156119856","255,205,0","Distal enhancer","4.12","4.00","4.06","3.09"
"chr1","156119911","156120261","EH38E2840482","0",".","156119911","156120261","255,205,0","Distal enhancer","5.11","4.32","4.06","3.08"
"chr1","156120338","156120642","EH38E3980418","0",".","156120338","156120642","255,205,0","Distal enhancer","2.70","4.37","3.91","1.60"
"chr1","156120659","156120896","EH38E3980419","0",".","156120659","156120896","255,205,0","Distal enhancer","2.65","4.32","3.90","1.41"
"chr1","156121162","156121363","EH38E2840485","0",".","156121162","156121363","255,205,0","Distal enhancer","2.42","3.94","4.23","1.69"
"chr1","156121503","156121780","EH38E1387656","0",".","156121503","156121780","255,205,0","Distal enhancer","3.31","3.86","4.46","1.24"
"chr1","156122118","156122341","EH38E2840486","0",".","156122118","156122341","255,205,0","Distal enhancer","2.66","4.05","5.00","1.72"
"chr1","156122586","156122785","EH38E2840487","0",".","156122586","156122785","255,205,0","Distal enhancer","3.38","4.02","5.43","1.88"
"chr1","156122847","156123169","EH38E2840488","0",".","156122847","156123169","255,205,0","Distal enhancer","4.55","4.10","5.84","3.11"
"chr1","156123300","156123648","EH38E2840489","0",".","156123300","156123648","255,205,0","Distal enhancer","5.89","4.15","5.74","4.14"
"chr1","156123663","156124012","EH38E2840490","0",".","156123663","156124012","255,205,0","Distal enhancer","7.04","3.95","5.75","3.24"
"chr1","156124024","156124231","EH38E2840491","0",".","156124024","156124231","255,205,0","Distal enhancer","5.07","3.92","5.56","2.75"
"chr1","156124265","156124430","EH38E2840492","0",".","156124265","156124430","255,167,0","Proximal enhancer","2.67","3.67","5.61","1.85"
"chr1","156124671","156125021","EH38E1387661","0",".","156124671","156125021","255,167,0","Proximal enhancer","4.62","3.24","5.04","1.65"
"chr1","156125155","156125492","EH38E1387662","0",".","156125155","156125492","255,167,0","Proximal enhancer","4.14","3.65","5.11","1.76"
"chr1","156125641","156125853","EH38E2840493","0",".","156125641","156125853","255,167,0","Proximal enhancer","3.17","4.03","5.18","2.10"
"chr1","156126003","156126186","EH38E2840494","0",".","156126003","156126186","255,0,0","Promoter","4.39","4.11","5.32","5.18"
"chr1","156126224","156126574","EH38E2840495","0",".","156126224","156126574","255,0,0","Promoter","5.75","4.08","5.79","3.20"
"chr1","156126707","156127056","EH38E2840496","0",".","156126707","156127056","255,167,0","Proximal enhancer","4.70","3.87","5.93","2.08"
"chr1","156127077","156127418","EH38E2840497","0",".","156127077","156127418","255,167,0","Proximal enhancer","6.28","3.78","5.78","2.03"
"chr1","156127495","156127737","EH38E2840498","0",".","156127495","156127737","255,167,0","Proximal enhancer","4.27","3.37","4.94","2.30"
"chr1","156127787","156128107","EH38E3980420","0",".","156127787","156128107","255,167,0","Proximal enhancer","2.39","3.20","4.47","1.44"
"chr1","156128162","156128434","EH38E2840500","0",".","156128162","156128434","255,167,0","Proximal enhancer","2.55","3.46","4.45","1.52"
"chr1","156128517","156128862","EH38E1387669","0",".","156128517","156128862","255,205,0","Distal enhancer","3.37","3.63","4.64","2.11"
"chr1","156128874","156129217","EH38E1387670","0",".","156128874","156129217","255,205,0","Distal enhancer","4.38","3.41","4.79","2.13"
"chr1","156129375","156129635","EH38E2840501","0",".","156129375","156129635","255,205,0","Distal enhancer","3.97","3.24","5.35","2.08"
"chr1","156129797","156130004","EH38E1387672","0",".","156129797","156130004","255,205,0","Distal enhancer","3.27","3.27","5.39","2.27"
"chr1","156130238","156130588","EH38E2840502","0",".","156130238","156130588","255,205,0","Distal enhancer","5.38","3.06","5.21","7.39"
"chr1","156130678","156130950","EH38E3980421","0",".","156130678","156130950","255,205,0","Distal enhancer","3.20","2.24","4.05","5.39"
"chr1","156130974","156131163","EH38E2840504","0",".","156130974","156131163","255,205,0","Distal enhancer","2.75","1.92","3.42","3.21"
"chr1","156131207","156131375","EH38E2840505","0",".","156131207","156131375","255,205,0","Distal enhancer","2.53","1.81","3.02","2.29"
"chr1","156131384","156131562","EH38E3980422","0",".","156131384","156131562","255,205,0","Distal enhancer","2.52","1.93","2.45","2.43"
"chr1","156131651","156131825","EH38E2840507","0",".","156131651","156131825","255,205,0","Distal enhancer","2.40","1.76","2.36","2.00"
"chr1","156131869","156132083","EH38E3980423","0",".","156131869","156132083","255,205,0","Distal enhancer","2.45","1.64","2.32","1.73"
"chr1","156132186","156132381","EH38E3980424","0",".","156132186","156132381","255,205,0","Distal enhancer","2.48","1.69","2.16","1.88"
"chr1","156132542","156132850","EH38E3980425","0",".","156132542","156132850","255,205,0","Distal enhancer","2.63","1.41","2.31","1.44"
"chr1","156133026","156133295","EH38E3980426","0",".","156133026","156133295","255,205,0","Distal enhancer","2.39","1.49","2.48","1.55"
"chr1","156133356","156133530","EH38E2840512","0",".","156133356","156133530","255,205,0","Distal enhancer","2.35","1.62","2.65","1.44"
"chr1","156133754","156134056","EH38E3980427","0",".","156133754","156134056","255,205,0","Distal enhancer","2.64","1.74","2.51","1.64"
"chr1","156134096","156134287","EH38E2840514","0",".","156134096","156134287","255,205,0","Distal enhancer","2.57","1.79","2.51","1.78"
"chr1","156134527","156134677","EH38E3980428","0",".","156134527","156134677","255,205,0","Distal enhancer","2.75","1.83","2.46","1.87"
"chr1","156134759","156135064","EH38E3980429","0",".","156134759","156135064","255,205,0","Distal enhancer","2.88","1.77","2.48","1.58"
"chr1","156135086","156135384","EH38E2840517","0",".","156135086","156135384","255,205,0","Distal enhancer","2.61","1.71","2.50","1.46"
"chr1","156135518","156135761","EH38E3980430","0",".","156135518","156135761","255,205,0","Distal enhancer","2.62","1.70","2.50","1.76"
"chr1","156135803","156136081","EH38E3980431","0",".","156135803","156136081","255,205,0","Distal enhancer","2.70","1.72","2.39","1.48"
"chr1","156136101","156136435","EH38E2840519","0",".","156136101","156136435","255,205,0","Distal enhancer","2.89","1.97","2.34","1.63"
"chr1","156136641","156136970","EH38E3980432","0",".","156136641","156136970","255,205,0","Distal enhancer","2.90","1.99","2.38","1.51"
"chr1","156137171","156137358","EH38E3980433","0",".","156137171","156137358","255,205,0","Distal enhancer","2.99","1.85","2.28","4.53"
"chr1","156137530","156137864","EH38E3980434","0",".","156137530","156137864","255,205,0","Distal enhancer","2.77","1.72","2.28","1.87"
"chr1","156138379","156138704","EH38E2840524","0",".","156138379","156138704","255,205,0","Distal enhancer","3.03","1.72","2.54","1.45"
"chr1","156138943","156139120","EH38E2840525","0",".","156138943","156139120","255,205,0","Distal enhancer","2.97","1.70","2.61","1.79"
"chr1","156139403","156139751","EH38E3980435","0",".","156139403","156139751","255,205,0","Distal enhancer","2.86","1.57","2.69","1.68"
"chr1","156139842","156140187","EH38E2840527","0",".","156139842","156140187","255,205,0","Distal enhancer","3.60","1.79","2.76","1.29"
